Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Sport,SUV,21998.0,44428.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFABM0M1334341/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,36101.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M1436723/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,22964.0,43261.0,0,1,Corporate fleet vehicle,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM4L1727020/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,21990.0,35641.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M0448930/?radius=25,45000
2021,Mazda,CX-5,Carbon Edition,SUV,24991.0,34442.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM1M0385657/?radius=25,45000
2022,Mazda,CX-5,2.5 S Preferred,SUV,25801.0,18200.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM8N0560140/?radius=25,30000
2020,Mazda,CX-5,Touring,SUV,23500.0,21952.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM5L0868492/?radius=25,60000
2022,Mazda,CX-5,2.5 S Select,SUV,24998.0,12702.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM2N0581826/?radius=25,30000
2021,Mazda,CX-5,Grand Touring,SUV,24945.0,18809.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM1M1338983/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,25900.0,14385.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0360821/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,16110.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM5M0374838/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,25590.0,18035.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM3M0444434/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23959.0,19553.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0404938/?radius=25,45000
2021,Mazda,CX-5,Carbon Edition,SUV,25202.0,23226.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M0391601/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,25998.0,18580.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M1333524/?radius=25,45000
